studno,description,action,datefiled,dateresolved
1996-66541,dolor vel est donec odio justo sollicitudin,sollicitudin,1991-09-10,1997-07-23
2009-45471,ut blandit non interdum in ante vestibulum ante,mollis,1995-11-28,1995-01-02
2016-58117,vestibulum ante ipsum primis in faucibus orci,viverra,1998-04-15,1994-06-24
2014-00717,ut at dolor quis odio consequat varius integer,ut,1990-04-01,1999-05-29
2002-61439,vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl,augue,1998-03-06,1994-01-29
2016-93266,diam vitae quam suspendisse potenti nullam,integer,1991-11-27,1992-01-19
1991-05658,amet consectetuer adipiscing elit proin,odio,1998-10-23,1996-06-10
2006-04656,sapien a libero nam dui proin leo odio porttitor id,cras,1996-06-07,1999-11-19
1994-79902,fusce consequat nulla nisl nunc nisl duis,curabitur,1996-06-13,1997-02-15
2010-99979,habitasse platea dictumst aliquam augue quam sollicitudin,ante,1992-03-15,1990-06-12
2018-82479,posuere metus vitae ipsum aliquam,nam,1991-10-27,1994-06-27
1993-94271,ut odio cras mi pede malesuada in,id,1991-03-25,1990-08-25
2018-92192,in magna bibendum imperdiet nullam orci pede,integer,1998-03-28,1998-07-31
2003-50939,duis bibendum morbi non quam nec dui luctus rutrum,amet,1994-06-27,1996-11-11
2018-17689,ac nulla sed vel enim sit amet,potenti,2000-03-18,1990-03-26
2006-94588,nulla elit ac nulla sed vel,quis,1991-08-22,1999-06-09
2015-43172,morbi a ipsum integer a nibh in quis,nisl,1995-02-19,1992-05-17
2009-10139,non lectus aliquam sit amet diam in,in,1992-02-14,1999-08-23
2017-16866,lacus curabitur at ipsum ac,diam,1995-06-26,1992-04-11
2001-78905,in eleifend quam a odio,magna,1994-09-25,2000-02-11
2007-62748,morbi vel lectus in quam fringilla rhoncus,eu,2000-05-12,1991-05-12
2006-81670,porta volutpat quam pede lobortis ligula sit amet eleifend,nulla,1998-11-19,1995-05-28
1993-40026,eget massa tempor convallis nulla,ipsum,2000-05-25,1992-04-17
2019-35152,montes nascetur ridiculus mus vivamus,faucibus,1992-12-07,1996-11-25
2019-02069,elit proin risus praesent lectus vestibulum quam sapien,nec,2000-10-28,1999-04-09
2016-67562,sed vestibulum sit amet cursus id turpis integer,vel,2000-03-05,1996-02-18
2003-22059,justo sollicitudin ut suscipit a feugiat et eros vestibulum,ultrices,1991-11-25,1998-11-20
2011-21739,sit amet sem fusce consequat nulla nisl nunc nisl,interdum,1994-07-17,1996-07-07
2011-05070,ornare consequat lectus in est risus auctor,quis,1997-10-16,1999-09-30
2007-79473,vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem,sociis,1991-03-15,1995-12-26
2019-79379,malesuada in imperdiet et commodo vulputate justo in blandit ultrices,tincidunt,1992-01-01,1999-10-30
2001-48713,interdum in ante vestibulum ante,turpis,1995-10-14,1992-06-26
2003-50083,felis fusce posuere felis sed lacus,ut,1991-04-01,1998-02-11
2011-90518,pede lobortis ligula sit amet eleifend pede libero quis,vestibulum,1993-10-21,1999-02-17
2013-19518,nisi at nibh in hac habitasse platea dictumst aliquam augue,in,1993-08-26,1996-08-27
2016-44138,fringilla rhoncus mauris enim leo rhoncus sed,velit,1991-09-10,1994-11-20
2004-86851,sem sed sagittis nam congue risus,sed,1995-08-01,1993-04-03
2000-54544,pede posuere nonummy integer non velit donec diam neque,ante,2000-05-02,1991-12-27
2002-01363,mauris enim leo rhoncus sed vestibulum sit amet cursus id,primis,1995-04-01,1996-08-26
2006-99548,tortor sollicitudin mi sit amet lobortis sapien sapien non,nisi,1990-07-02,1995-07-26
2018-49137,non interdum in ante vestibulum ante,dolor,1991-02-13,1999-10-09
2016-24761,tincidunt ante vel ipsum praesent blandit lacinia erat,ultrices,1999-10-15,1994-02-14
2002-12255,praesent blandit lacinia erat vestibulum sed magna at,amet,1999-01-20,1996-09-02
1997-16930,augue luctus tincidunt nulla mollis molestie lorem quisque ut erat,cras,1992-09-03,1998-09-15
1996-71463,maecenas tristique est et tempus semper est quam pharetra,curabitur,1992-11-08,1992-12-18
2016-76440,erat curabitur gravida nisi at,faucibus,2000-03-22,1994-04-15
2010-43217,varius nulla facilisi cras non velit nec nisi vulputate nonummy,rhoncus,1992-02-08,1999-09-11
2019-00833,lacinia aenean sit amet justo morbi ut odio cras mi,ultrices,1996-05-13,1994-08-16
1997-51963,mauris sit amet eros suspendisse accumsan tortor quis,nunc,1999-05-03,1993-02-10
2009-63161,id sapien in sapien iaculis,blandit,1992-05-07,1998-07-27
2009-09956,interdum mauris non ligula pellentesque ultrices phasellus id sapien in,amet,1997-04-10,1996-03-15
2015-47380,sollicitudin mi sit amet lobortis sapien sapien non mi integer,lobortis,1991-02-17,1999-09-27
2015-34805,in lectus pellentesque at nulla,turpis,1997-08-30,1993-10-16
2012-40581,duis aliquam convallis nunc proin at turpis a pede posuere,eu,1995-01-01,1998-03-01
1996-34284,natoque penatibus et magnis dis parturient,amet,2000-10-09,1993-03-19
1991-73587,sit amet lobortis sapien sapien non mi,in,1994-08-27,1994-07-30
2016-19992,in faucibus orci luctus et ultrices posuere cubilia curae,ultrices,1997-05-10,2000-06-26
1992-67311,eros viverra eget congue eget semper rutrum nulla,luctus,1997-04-16,1996-07-26
2012-90574,facilisi cras non velit nec,pede,1992-05-23,1998-07-20
1995-13666,accumsan tortor quis turpis sed ante vivamus tortor duis,nulla,1994-05-02,1994-03-03
2018-77253,magna at nunc commodo placerat praesent,ac,1999-09-22,1999-03-11
2003-14134,orci luctus et ultrices posuere cubilia curae donec pharetra magna,tincidunt,1994-01-27,1992-08-22
2000-97514,fermentum justo nec condimentum neque sapien placerat ante,sapien,1990-12-07,1995-10-04
2000-45035,nunc purus phasellus in felis donec semper,pellentesque,2000-05-18,1996-05-27
2011-02450,etiam vel augue vestibulum rutrum,id,1997-05-22,1991-12-02
2017-88965,dis parturient montes nascetur ridiculus mus vivamus,ac,1998-11-20,1994-08-18
2012-19948,justo sit amet sapien dignissim vestibulum vestibulum ante ipsum,platea,1990-11-11,1995-09-30
2018-94319,odio condimentum id luctus nec molestie sed justo,porttitor,2000-08-24,1997-03-08
2018-91522,lectus in quam fringilla rhoncus mauris enim,ipsum,2000-08-01,1999-03-03
2006-12404,nam congue risus semper porta volutpat quam,dui,1993-05-23,2000-04-22
2009-30624,nisl nunc nisl duis bibendum felis sed interdum,ante,1998-03-05,1999-10-21
2019-11320,vel accumsan tellus nisi eu orci mauris lacinia,mauris,1998-01-23,1999-01-16
2011-99039,dapibus augue vel accumsan tellus nisi eu,tempor,1993-09-10,1994-02-24
2017-89930,interdum eu tincidunt in leo,euismod,1995-05-12,1990-07-04
2018-67415,ut massa quis augue luctus tincidunt nulla mollis molestie lorem,integer,1998-04-10,1990-12-23
1999-00250,sapien sapien non mi integer ac neque duis bibendum,diam,1992-06-23,1996-08-28
2013-48660,ornare consequat lectus in est risus,nulla,1995-05-20,1990-02-26
2009-45760,tempus semper est quam pharetra magna ac consequat metus sapien,orci,1995-02-15,1991-11-06
2018-40101,turpis enim blandit mi in porttitor pede justo eu,posuere,1995-11-05,1993-11-30
2016-75094,erat volutpat in congue etiam justo etiam pretium iaculis justo,vestibulum,1993-07-11,2000-11-06
1995-82994,accumsan tellus nisi eu orci,rutrum,1990-07-31,1992-03-01
2016-68239,tristique fusce congue diam id ornare,morbi,1994-01-17,1994-11-26
2017-49131,iaculis justo in hac habitasse platea dictumst etiam faucibus,lobortis,2000-04-20,1996-05-31
1993-44132,ac neque duis bibendum morbi non,blandit,1995-09-14,1993-10-05
2019-54228,et eros vestibulum ac est lacinia nisi venenatis tristique fusce,fusce,1999-06-30,1992-08-16
1993-03626,sem praesent id massa id,massa,1995-08-08,1998-03-14
2018-37973,risus praesent lectus vestibulum quam sapien varius ut blandit non,ultrices,1992-02-23,1991-01-14
2009-35914,euismod scelerisque quam turpis adipiscing,arcu,1994-11-19,1998-07-01
2017-02788,morbi porttitor lorem id ligula,eget,1990-11-06,1994-10-22
1992-66400,lectus pellentesque eget nunc donec,ut,1995-08-04,2000-07-07
2018-08541,aliquet maecenas leo odio condimentum,potenti,1999-11-21,1998-11-29
2014-53981,posuere cubilia curae duis faucibus accumsan odio,libero,1992-09-02,1993-12-01
2016-26215,consequat lectus in est risus auctor sed tristique,penatibus,1993-10-28,2000-05-19
1990-46419,odio consequat varius integer ac leo,quis,1995-03-07,1996-03-07
2013-16886,aenean sit amet justo morbi ut odio cras mi pede,aenean,1992-11-15,1990-08-01
2013-59037,ut blandit non interdum in ante vestibulum ante ipsum,faucibus,1995-06-06,1991-04-05
2016-56443,nisl nunc nisl duis bibendum felis sed interdum venenatis,magna,1998-04-21,1997-12-31
2004-18123,proin leo odio porttitor id consequat,felis,1996-01-02,1993-10-12
2014-16670,sem duis aliquam convallis nunc proin at turpis a,quam,1993-12-11,1994-12-14
2010-81675,vivamus vestibulum sagittis sapien cum sociis,accumsan,1999-07-09,1992-12-17
2004-81632,ipsum primis in faucibus orci luctus et ultrices posuere cubilia,felis,1996-06-16,1994-03-16
1995-68128,nec nisi volutpat eleifend donec ut dolor,arcu,1997-05-15,1990-09-11
2007-94785,quisque arcu libero rutrum ac lobortis vel dapibus at diam,donec,2000-07-19,1994-10-24
2013-71776,quis turpis eget elit sodales,at,1993-12-31,1992-02-02
2017-86203,donec posuere metus vitae ipsum aliquam non,dapibus,1998-07-14,1996-04-17
1991-99056,neque duis bibendum morbi non quam nec dui luctus,posuere,1993-03-30,1996-02-20
2018-61330,fusce congue diam id ornare,eget,1998-01-04,1990-06-24
1993-95967,a odio in hac habitasse platea dictumst,erat,1995-08-02,1997-07-13
2013-59351,et ultrices posuere cubilia curae donec pharetra magna vestibulum,purus,1991-04-15,1994-08-15
2008-22988,vehicula consequat morbi a ipsum integer,nam,1993-04-28,1998-09-28
1991-99796,id ligula suspendisse ornare consequat lectus in est risus,erat,1994-11-27,1992-04-28
2017-82288,sapien non mi integer ac neque duis bibendum morbi non,in,1999-11-11,1992-10-11
1992-97251,integer ac neque duis bibendum morbi non quam nec,eget,1993-01-21,1997-06-14
2019-91291,in sagittis dui vel nisl,et,1998-09-23,1996-01-02
1994-79141,curabitur convallis duis consequat dui,vestibulum,1995-03-31,2000-04-10
2010-82687,justo aliquam quis turpis eget elit sodales,a,2000-04-11,1994-04-22
1998-88079,ante vivamus tortor duis mattis egestas metus aenean fermentum donec,nulla,1993-11-05,1991-05-31
2006-82634,erat volutpat in congue etiam justo etiam pretium,ipsum,1998-06-20,1990-02-03
1999-14733,libero nullam sit amet turpis elementum ligula vehicula,venenatis,1992-06-11,1991-12-29
2009-64147,ultrices enim lorem ipsum dolor sit amet,cubilia,2000-07-27,1997-08-19
2011-81934,velit nec nisi vulputate nonummy maecenas,a,1998-04-05,1996-02-19
2014-42956,ultrices mattis odio donec vitae nisi nam ultrices,vestibulum,1993-06-15,1991-10-11
2002-82795,nunc proin at turpis a pede posuere,potenti,1999-06-13,1998-02-26
1998-92370,accumsan felis ut at dolor,tellus,1992-11-06,1997-01-01
2004-09116,ligula nec sem duis aliquam convallis,eget,1992-01-27,1998-04-07
2008-11010,in quam fringilla rhoncus mauris,amet,1996-10-06,1997-10-05
2017-03064,risus praesent lectus vestibulum quam sapien,dis,1995-09-04,1999-01-18
2007-53430,lobortis vel dapibus at diam,elit,1997-03-29,1993-06-12
2001-34442,ut tellus nulla ut erat id mauris,lacinia,1997-08-21,2000-08-04
2004-87435,nec condimentum neque sapien placerat ante,lectus,1991-09-30,1997-10-07
2011-18246,molestie lorem quisque ut erat curabitur gravida nisi at nibh,sapien,1992-01-08,1999-08-10
2014-77181,platea dictumst maecenas ut massa,enim,1994-11-06,1993-09-04
2010-46307,in quam fringilla rhoncus mauris enim leo rhoncus sed,vel,1996-11-19,1992-06-17
2019-38633,nunc nisl duis bibendum felis sed,vestibulum,1991-06-23,1991-03-03
2012-57609,massa id lobortis convallis tortor risus dapibus augue,orci,1992-04-04,1998-03-02
1991-78246,dolor sit amet consectetuer adipiscing elit proin,nulla,1998-06-13,1999-10-14
2019-01468,sed vel enim sit amet,potenti,1994-12-20,1997-07-28
2017-49072,tempus vivamus in felis eu,erat,1990-11-01,1996-12-14
2009-43688,habitasse platea dictumst morbi vestibulum velit,porttitor,1991-12-15,1997-08-21
2018-87308,tincidunt nulla mollis molestie lorem quisque ut,ultrices,1998-05-19,1994-01-28
2015-92416,ultrices mattis odio donec vitae nisi,tortor,1990-09-20,1998-02-14
2002-84180,aenean lectus pellentesque eget nunc donec quis orci,pede,1990-07-09,1994-04-24
1993-29809,orci luctus et ultrices posuere,at,1995-09-04,2000-03-25
2002-27052,orci luctus et ultrices posuere cubilia curae mauris,congue,1990-09-13,1995-08-17
2013-68133,ligula sit amet eleifend pede libero quis orci nullam,potenti,2000-01-21,1992-02-14
2019-01033,interdum mauris non ligula pellentesque ultrices phasellus id sapien,ultrices,1995-04-29,1995-05-02
2004-18993,vulputate vitae nisl aenean lectus pellentesque eget,mattis,1992-07-13,1993-07-30
1991-23088,nonummy maecenas tincidunt lacus at velit vivamus vel nulla,mi,1997-10-23,1993-11-17
2013-69570,luctus ultricies eu nibh quisque id,leo,1992-09-04,1995-08-26
1997-99363,justo aliquam quis turpis eget elit sodales scelerisque mauris,dolor,1992-04-19,1996-11-21
2014-35197,in eleifend quam a odio in hac habitasse platea,sem,1993-05-29,1999-06-15
2004-01225,id consequat in consequat ut nulla sed accumsan,cubilia,1995-01-31,2000-10-29
1992-98068,duis consequat dui nec nisi volutpat eleifend donec ut,ultrices,1993-12-06,1992-02-14
1998-05736,in consequat ut nulla sed accumsan,congue,1992-09-18,1997-03-20
2011-24770,dolor morbi vel lectus in quam fringilla rhoncus mauris,ut,1991-08-07,1993-11-23
2016-32165,a odio in hac habitasse platea dictumst maecenas ut,maecenas,1994-06-12,1993-09-04
2014-35065,primis in faucibus orci luctus et,maecenas,1996-06-28,2000-07-21
2014-35062,sem duis aliquam convallis nunc proin,sed,1994-07-05,1994-02-02
1999-94179,odio cras mi pede malesuada in imperdiet et commodo,vulputate,1999-08-24,2000-03-05
2011-15320,duis bibendum morbi non quam nec dui luctus rutrum,congue,1994-05-18,2000-04-06
2016-17608,dignissim vestibulum vestibulum ante ipsum primis,sed,1990-07-28,1992-06-29
2012-72735,in leo maecenas pulvinar lobortis est phasellus sit amet,enim,1999-05-03,1999-10-23
1996-78207,justo sollicitudin ut suscipit a feugiat et,ut,2000-03-25,1999-10-29
2003-03156,eget massa tempor convallis nulla neque,donec,1993-04-18,1995-07-10
1991-71296,aliquam erat volutpat in congue etiam justo etiam pretium iaculis,faucibus,1993-02-15,1993-01-14
2017-20969,sed augue aliquam erat volutpat in,donec,1997-11-09,1995-05-25
2013-80478,mi nulla ac enim in tempor turpis,vestibulum,1996-07-17,1995-02-03
1996-91194,pretium nisl ut volutpat sapien arcu sed augue aliquam,tellus,1995-06-07,1992-10-26
2003-00739,ac enim in tempor turpis nec euismod scelerisque quam,lacus,1998-12-07,1995-10-22
2015-22123,sit amet justo morbi ut odio,velit,1993-07-18,1998-09-13
2014-52373,ullamcorper augue a suscipit nulla elit ac nulla sed vel,sapien,1991-05-21,1995-07-25
2017-79743,mauris enim leo rhoncus sed vestibulum sit,amet,1994-03-29,1999-12-19
2015-04945,a odio in hac habitasse platea dictumst maecenas ut,iaculis,1993-09-09,1991-04-16
2019-08655,libero ut massa volutpat convallis morbi,sed,1998-01-27,1997-12-18
2009-49813,tortor sollicitudin mi sit amet lobortis sapien sapien non,et,1999-11-08,2000-12-02
2017-96202,quis tortor id nulla ultrices aliquet,maecenas,2000-09-19,1991-04-11
1997-61049,velit id pretium iaculis diam erat fermentum justo,sem,1997-10-10,2000-05-06
2005-20581,hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis,luctus,1990-12-12,2000-01-08
2013-77582,nam ultrices libero non mattis pulvinar nulla pede,sed,1993-06-01,1995-12-30
2015-11089,a suscipit nulla elit ac nulla sed vel enim,rutrum,1992-08-13,1994-11-21
2004-39587,ante ipsum primis in faucibus orci,et,1996-01-21,2000-06-22
1996-73188,justo eu massa donec dapibus duis at velit,tempor,1994-03-06,1991-05-05
2000-12692,vestibulum quam sapien varius ut blandit,nunc,1999-08-15,1997-07-25
2006-72220,hac habitasse platea dictumst etiam faucibus,vel,1995-06-27,1995-11-30
1992-08876,donec vitae nisi nam ultrices libero non mattis pulvinar,cubilia,1992-02-04,1992-02-07
2000-11507,nulla dapibus dolor vel est donec odio justo sollicitudin,justo,1992-09-28,2000-09-21
1996-23604,metus arcu adipiscing molestie hendrerit,lorem,1998-04-04,1997-04-09
2010-16099,a nibh in quis justo maecenas rhoncus aliquam,libero,1996-06-14,2000-05-03
2016-42224,est phasellus sit amet erat,sed,1995-04-07,2000-11-23
1993-03823,in congue etiam justo etiam,orci,1998-12-24,2000-12-08
2016-96700,sed tincidunt eu felis fusce posuere felis,amet,1996-01-21,2000-03-07
1992-71656,luctus cum sociis natoque penatibus et magnis dis parturient montes,quam,1993-09-07,1992-04-30
2011-88870,nulla integer pede justo lacinia eget tincidunt eget,quis,2000-11-03,1999-09-15
2010-64404,posuere cubilia curae donec pharetra magna,dui,1991-05-23,1998-04-21
2016-44538,morbi sem mauris laoreet ut rhoncus aliquet,est,1995-10-08,1997-10-30
2006-39644,sed tristique in tempus sit amet sem,integer,1997-04-17,1997-02-27
2013-07200,interdum mauris non ligula pellentesque ultrices,potenti,1990-01-30,1994-05-08
2017-52893,non velit donec diam neque vestibulum eget vulputate ut,curabitur,1994-11-24,1995-01-10
2017-80018,vel nulla eget eros elementum pellentesque,fusce,1997-03-12,1998-01-22
2012-41322,donec diam neque vestibulum eget vulputate ut ultrices vel,ligula,1996-09-23,1995-11-01
2013-91311,quis libero nullam sit amet turpis elementum ligula,facilisi,1999-03-31,2000-01-02
2019-69732,ut suscipit a feugiat et eros vestibulum ac est lacinia,cubilia,1998-04-25,1992-11-18
2015-04751,rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet,platea,1990-07-21,1998-03-21
2009-44885,sodales sed tincidunt eu felis,consectetuer,1997-10-26,1999-01-10
2007-54242,suspendisse potenti cras in purus eu magna vulputate,vitae,1991-07-12,2000-08-03
2007-57221,sem sed sagittis nam congue risus semper porta volutpat quam,est,1995-07-01,1999-02-15
2002-55476,augue a suscipit nulla elit,cubilia,1991-09-14,1994-07-04
2018-32759,sagittis nam congue risus semper porta volutpat quam pede,vulputate,1997-04-02,1990-10-10
1995-18089,tincidunt nulla mollis molestie lorem quisque ut erat curabitur,sapien,1999-10-22,1990-01-27
2018-45903,eu tincidunt in leo maecenas pulvinar lobortis est,in,1995-05-11,1993-09-29
1998-33345,augue quam sollicitudin vitae consectetuer eget rutrum at lorem,tempus,1991-05-14,1991-01-30
2010-67887,pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus,suscipit,1998-01-29,1992-12-30
1996-13825,a feugiat et eros vestibulum ac est lacinia nisi,nec,1995-03-22,2000-08-16
1997-23124,adipiscing elit proin interdum mauris non ligula,magnis,1998-08-17,1993-09-28
2007-60290,posuere cubilia curae donec pharetra magna vestibulum,consequat,1992-12-03,1994-09-17
2014-74946,nulla quisque arcu libero rutrum,primis,2000-10-29,1991-07-31
2008-94275,nunc viverra dapibus nulla suscipit ligula,lobortis,1996-10-14,1998-06-19
2011-04515,tristique fusce congue diam id ornare imperdiet sapien urna pretium,ultrices,1998-04-03,1994-02-24
2007-37332,nisl venenatis lacinia aenean sit amet justo morbi,suspendisse,1991-11-19,1994-07-17
2011-89824,et tempus semper est quam pharetra magna,magna,1994-02-06,1994-01-21
2012-49188,augue luctus tincidunt nulla mollis molestie lorem quisque ut,sed,1998-10-10,1999-10-29
2004-41828,erat eros viverra eget congue,lorem,1992-02-04,1998-07-09
2012-21521,maecenas tincidunt lacus at velit vivamus vel,rutrum,1996-04-05,1998-11-29
2017-20275,lacus morbi quis tortor id nulla ultrices,venenatis,1993-08-08,1999-12-25
2010-41984,ac consequat metus sapien ut nunc vestibulum,rutrum,1998-07-23,1997-06-10
2017-87653,non lectus aliquam sit amet diam,nulla,1997-12-25,1998-06-22
2014-02802,ut dolor morbi vel lectus in,luctus,1994-09-29,1994-09-06
2013-53572,augue vel accumsan tellus nisi eu orci mauris lacinia,dapibus,1991-01-10,1997-05-08
2015-40034,duis bibendum felis sed interdum venenatis,nisl,1992-11-25,1990-07-15
2007-33208,congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae,mi,1992-12-31,1993-01-03
1992-76718,natoque penatibus et magnis dis parturient montes nascetur,eu,1991-05-24,1990-07-30
1991-98306,erat id mauris vulputate elementum nullam varius nulla facilisi,duis,1991-10-02,1995-08-09
2005-90613,pede ac diam cras pellentesque volutpat dui maecenas tristique,lectus,1994-06-10,1999-03-09
2012-98323,purus sit amet nulla quisque arcu libero rutrum,bibendum,1996-06-30,1994-08-14
2017-71015,id nisl venenatis lacinia aenean,in,1995-08-03,2000-08-28
1998-76447,feugiat non pretium quis lectus,maecenas,1991-05-16,1999-10-13
2010-45811,nibh quisque id justo sit amet,eget,2000-01-20,1999-08-30
2019-88272,proin interdum mauris non ligula pellentesque ultrices phasellus,nisl,1994-12-13,1990-03-21
2019-48760,nunc purus phasellus in felis donec semper sapien a,a,1993-05-24,1990-03-10
2004-52381,turpis adipiscing lorem vitae mattis nibh ligula nec sem duis,eu,1998-03-01,1996-05-16
2007-40111,imperdiet et commodo vulputate justo,erat,1999-11-07,1992-01-13
2018-21178,id ornare imperdiet sapien urna pretium nisl ut,in,1999-05-12,1991-03-21
1995-15296,gravida nisi at nibh in hac,at,1999-09-04,2000-02-27
2001-16281,velit donec diam neque vestibulum eget vulputate ut ultrices vel,at,1998-08-06,1992-11-25
2015-80391,pede justo lacinia eget tincidunt eget tempus vel pede morbi,lorem,1995-10-30,1998-06-21
2006-80602,amet justo morbi ut odio cras,proin,1992-05-14,1992-07-28
1996-39026,magna ac consequat metus sapien ut nunc vestibulum,nullam,1992-01-13,2000-11-15
2013-95223,nulla ut erat id mauris,quis,1991-07-28,1997-10-26
2016-74646,lobortis sapien sapien non mi integer ac neque duis bibendum,blandit,1998-02-15,1992-09-21
2013-64479,cras non velit nec nisi vulputate nonummy maecenas tincidunt,et,1999-05-16,1999-02-10
2014-97539,arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean,potenti,2000-09-11,1991-10-11
2011-35494,lobortis vel dapibus at diam nam tristique,enim,1991-01-29,2000-11-23
2019-31300,praesent lectus vestibulum quam sapien varius ut blandit non,quis,1999-08-02,1995-11-27
1998-65945,vel est donec odio justo sollicitudin ut suscipit a,orci,2000-03-09,1991-05-09
2014-73534,turpis elementum ligula vehicula consequat,sapien,1994-10-17,2000-02-21
2012-39871,nulla eget eros elementum pellentesque quisque porta volutpat,penatibus,1990-07-12,1994-04-03
2019-68299,primis in faucibus orci luctus et,donec,1996-05-21,1993-11-21
2012-09473,vestibulum proin eu mi nulla ac,sapien,1996-06-03,1990-11-18
1995-15249,ut odio cras mi pede malesuada in imperdiet et commodo,orci,1995-09-19,1990-12-09
2005-84808,turpis enim blandit mi in porttitor pede justo eu massa,nulla,1995-07-30,1999-09-12
2013-92683,dolor sit amet consectetuer adipiscing elit,sit,1998-07-04,1993-02-23
2019-80417,venenatis turpis enim blandit mi in porttitor,in,1999-12-21,1990-04-20
2008-43032,est risus auctor sed tristique in tempus sit amet,sed,1995-02-25,1992-12-09
2018-89424,mus vivamus vestibulum sagittis sapien,morbi,1998-10-22,1992-05-14
2003-81975,luctus ultricies eu nibh quisque,non,1990-08-06,1993-07-29
2014-97318,maecenas tristique est et tempus semper est quam,ut,1992-09-18,1994-02-18
2004-54672,volutpat erat quisque erat eros viverra eget congue eget semper,nulla,1997-03-01,1994-10-27
2018-72930,nulla ut erat id mauris vulputate elementum nullam,in,1992-04-14,1999-07-29
2016-02505,turpis integer aliquet massa id lobortis,proin,1994-10-31,1991-02-04
2013-39645,pede venenatis non sodales sed tincidunt eu,morbi,1998-04-07,1999-12-25
2011-83992,vulputate ut ultrices vel augue vestibulum,adipiscing,1995-08-05,2000-03-08
2018-34192,posuere felis sed lacus morbi sem mauris laoreet ut,pede,1997-06-06,1991-08-18
2011-05560,pede venenatis non sodales sed tincidunt,sed,1998-06-29,1991-06-01
2013-51654,condimentum curabitur in libero ut massa volutpat convallis,porttitor,1994-03-13,1998-04-15
2016-84452,ultrices posuere cubilia curae mauris viverra,integer,1998-08-15,1994-02-24
2002-87907,mauris enim leo rhoncus sed vestibulum sit amet,non,1991-08-17,1990-08-31
2010-77128,ut nunc vestibulum ante ipsum primis,nulla,1996-01-29,1999-03-03
2004-11127,convallis eget eleifend luctus ultricies eu nibh quisque id,dis,1994-10-29,1993-06-11
1996-72712,nunc viverra dapibus nulla suscipit ligula in,enim,1995-11-06,1991-10-22
1990-32075,dapibus at diam nam tristique tortor eu,habitasse,1998-12-22,1993-03-11
1990-15602,est lacinia nisi venenatis tristique fusce congue,pede,1998-01-20,1997-12-15
2019-78111,vel augue vestibulum rutrum rutrum neque,odio,1995-01-10,1995-02-01
2005-02075,ligula suspendisse ornare consequat lectus,at,1997-06-12,1999-12-10
2012-01268,consectetuer adipiscing elit proin risus praesent lectus vestibulum,in,1992-08-07,1993-02-25
2002-50529,vestibulum proin eu mi nulla,pellentesque,1999-06-30,1993-05-07
2008-55261,luctus et ultrices posuere cubilia curae donec pharetra magna,cubilia,1995-09-14,1991-09-03
2001-71519,rutrum neque aenean auctor gravida sem,varius,1993-01-12,1994-07-19
2015-82124,nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel,sapien,1994-09-04,1995-12-10
1996-20698,platea dictumst etiam faucibus cursus urna ut tellus nulla,eros,1990-10-17,1991-12-22
2004-98903,ipsum ac tellus semper interdum mauris ullamcorper purus,in,1994-05-30,1992-01-12
2009-95046,nec molestie sed justo pellentesque viverra pede ac diam,in,1991-10-26,1994-07-12
2005-04088,sapien non mi integer ac neque duis bibendum,venenatis,1996-09-12,1995-10-28
2010-27734,platea dictumst morbi vestibulum velit id pretium iaculis diam,odio,1994-11-04,1997-08-19
2017-70871,venenatis lacinia aenean sit amet justo morbi ut odio cras,erat,1993-08-18,2000-01-08
1992-84871,tortor sollicitudin mi sit amet lobortis,nibh,1997-10-14,1995-09-06
2015-69973,turpis integer aliquet massa id lobortis convallis tortor,eget,1994-07-14,1994-10-01
2007-04407,quisque ut erat curabitur gravida nisi at nibh in hac,nulla,1991-01-19,1999-05-08
2014-92495,amet nulla quisque arcu libero rutrum,eu,1991-05-02,1996-03-14
2018-55217,id sapien in sapien iaculis congue vivamus,nisl,1992-09-26,1993-11-20
2012-48284,ipsum primis in faucibus orci luctus et ultrices posuere,odio,1993-08-29,1993-09-26
2011-63189,augue luctus tincidunt nulla mollis,vulputate,1995-04-18,1992-04-09
1999-75518,consequat in consequat ut nulla sed accumsan felis ut,metus,1995-05-28,1990-05-02
2001-49473,tortor risus dapibus augue vel accumsan tellus nisi,blandit,1998-07-23,2000-08-12
2014-66287,tincidunt ante vel ipsum praesent blandit lacinia,sodales,2000-08-16,1996-10-27
2018-98878,at turpis a pede posuere nonummy integer non,aliquet,2000-08-13,1997-01-13
1997-81870,diam neque vestibulum eget vulputate ut ultrices vel augue,velit,1998-05-04,1997-03-21
1990-18809,rutrum ac lobortis vel dapibus at diam nam tristique tortor,tincidunt,1999-07-02,1999-11-28
1997-54777,eros elementum pellentesque quisque porta volutpat erat quisque,adipiscing,1993-04-30,1993-03-07
2015-19866,erat volutpat in congue etiam,vestibulum,1995-08-31,1996-05-20
2019-37287,est quam pharetra magna ac,semper,1999-09-27,1994-07-26
2018-22716,donec posuere metus vitae ipsum aliquam non mauris,platea,1996-11-01,1995-08-08
